make,mileage,price,body_type,drivetrain,transmission,fuel_type,passengers,is_private,car_age
MERCEDES-BENZ,122865.0,9.79784922051313,SUV,AWD,Automatic,Diesel,5.0,0,8
GENESIS,55650.0,10.735526731962691,SEDAN,AWD,Automatic,Gas,5.0,0,3
HYUNDAI,91715.0,9.432523462195268,HATCHBACK,FWD,Automatic,Gas,5.0,0,5
NISSAN,45500.0,9.740674462130215,SUV,AWD,Automatic,Gas,5.0,0,6
JEEP,69245.0,10.661954199216716,SUV,AWD,Automatic,Gas,5.0,0,4
NISSAN,59622.0,9.392245175273796,HATCHBACK,FWD,Automatic,Gas,5.0,0,4
KIA,13606.0,9.902987427494446,SEDAN,FWD,Automatic,Gas,5.0,0,1
FORD,81581.0,9.540363284917488,SUV,FWD,Automatic,Gas,5.0,0,7
NISSAN,70924.0,9.775370049755686,SUV,FWD,Automatic,Gas,5.0,0,5
MERCEDES-BENZ,59000.0,10.8568428285471,CONVERTIBLE,RWD,Automatic,Gas,2.0,0,9
NISSAN,35073.0,10.105611736626262,SUV,AWD,Automatic,Gas,5.0,0,4
CADILLAC,65181.0,11.18317061609654,SUV,AWD,Automatic,Gas,8.0,0,3
ACURA,164000.0,9.21024036697585,SEDAN,FWD,Automatic,Gas,5.0,0,10
GMC,137000.0,10.404262840448617,TRUCK,AWD,Automatic,Gas,5.0,1,6
BMW,5771.0,11.050572494655016,SUV,AWD,Automatic,Gas,5.0,0,2
VOLKSWAGEN,175000.0,9.104868739033948,SEDAN,FWD,Automatic,Gas,5.0,1,10
LEXUS,35.0,10.795321643976292,SEDAN,AWD,Automatic,Gas,5.0,0,1
TOYOTA,188000.0,9.601706555704846,SUV,AWD,Automatic,Gas,5.0,0,7
DODGE,117058.0,9.539644119118783,MINIVAN,FWD,Automatic,Gas,7.0,0,6
CHEVROLET,50265.0,9.846282078765348,SUV,AWD,Automatic,Gas,5.0,0,6
MAZDA,141000.0,9.301094735244646,SEDAN,FWD,Automatic,Gas,5.0,0,7
FORD,58418.0,10.459898209522605,SUV,AWD,Automatic,Gas,7.0,0,4
FORD,37000.0,10.950789002803145,TRUCK,AWD,Automatic,Gas,5.0,1,4
LEXUS,35000.0,10.568235258574376,SUV,AWD,Automatic,Gas,5.0,0,5
VOLKSWAGEN,93200.0,10.196157166498947,SEDAN,AWD,Automatic,Gas,5.0,1,6
HYUNDAI,84000.0,9.538204234060796,SEDAN,FWD,Automatic,Gas,5.0,0,5
FORD,53800.0,10.239781201782993,SUV,FWD,Automatic,Gas,5.0,0,4
FORD,169000.0,7.438383530044307,SEDAN,FWD,Automatic,Gas,5.0,1,19
AUDI,24072.0,10.275016625615446,SEDAN,AWD,Automatic,Gas,5.0,0,3
FORD,200000.0,7.170119543449628,COUPE,RWD,Automatic,Gas,4.0,1,22
FORD,86896.0,9.34966743719728,SEDAN,AWD,Automatic,Gas,5.0,0,8
FORD,131012.0,10.18123291904192,CREW CAB,AWD,Automatic,Gas,5.0,0,8
FORD,36045.0,10.69183127007966,TRUCK,RWD,Automatic,Gas,5.0,0,3
MERCEDES-BENZ,45317.0,10.363693339301753,SEDAN,AWD,Automatic,Gas,5.0,0,7
NISSAN,136000.0,8.867850063029406,SUV,FWD,Automatic,Gas,5.0,1,9
KIA,93455.0,8.972083182851925,SEDAN,FWD,Automatic,Gas,5.0,0,6
BMW,66224.0,10.308885991755306,SEDAN,AWD,Automatic,Gas,5.0,0,6
ACURA,206842.0,9.093581811365986,SEDAN,FWD,Automatic,Gas,5.0,0,10
TOYOTA,109200.0,8.987196820661973,SEDAN,FWD,Automatic,Gas,5.0,1,9
FORD,1000.0,10.8912241448583,CREW CAB,AWD,Automatic,Gas,5.0,0,1
NISSAN,200.0,10.33520503178836,SUV,AWD,CVT,Gas,5.0,0,1
DODGE,135790.0,9.093806555720231,MINIVAN,FWD,Automatic,Gas,7.0,1,8
ACURA,99068.0,7.600902459542082,SEDAN,FWD,Automatic,Gas,5.0,1,10
MINI,74778.0,10.065223675720974,HATCHBACK,FWD,Manual,Gas,5.0,0,5
CADILLAC,106000.0,8.846496938558838,SEDAN,AWD,Automatic,Gas,5.0,1,16
BMW,219278.0,9.2954165443313,CONVERTIBLE,RWD,Automatic,Gas,4.0,0,18
NISSAN,58400.0,10.106428396532818,COUPE,RWD,Automatic,Gas,4.0,1,9
JEEP,63020.0,10.529425983402623,SUV,AWD,Manual,Gas,5.0,0,5
JEEP,52100.0,10.341355311751792,SUV,AWD,Automatic,Gas,5.0,0,5
TOYOTA,78489.0,10.08079656750654,SEDAN,FWD,Automatic,Gas,5.0,0,4
HONDA,99775.0,8.006367567650246,SEDAN,FWD,Automatic,Gas,5.0,1,7
FORD,63500.0,9.417354541360508,HATCHBACK,FWD,Manual,Gas,5.0,1,6
ACURA,151400.0,8.006367567650246,SEDAN,FWD,Automatic,Gas,5.0,1,13
TOYOTA,61572.0,10.16269298699536,SEDAN,FWD,CVT,Gas Hybrid,5.0,0,4
JAGUAR,68000.0,10.515641573886542,SUV,AWD,Automatic,Gas,5.0,0,4
PORSCHE,101886.0,11.395132429263844,COUPE,AWD,Automatic,Gas,4.0,0,9
NISSAN,66840.0,9.740850969058572,SUV,FWD,CVT,Gas,5.0,0,4
LEXUS,118746.0,10.232359551812772,SUV,AWD,Automatic,Premium Unleaded,5.0,0,4
BMW,45760.0,10.239245248219472,SUV,AWD,Automatic,Gas,5.0,0,5
BUICK,102744.0,9.471781133222736,SUV,FWD,Automatic,Gas,5.0,0,9
BMW,141007.0,9.446913343602054,SEDAN,AWD,Automatic,Gas,5.0,0,9
HYUNDAI,94000.0,9.305559638557115,SEDAN,FWD,Automatic,Gas,5.0,0,6
JEEP,15760.0,10.432644132986844,SUV,AWD,Automatic,Gas,5.0,0,1
